Vernier Format 2
100hz LL_0 Win_1000 1s_p_sec.cmbl 9/6/2011 15:26:26 .
Latest
Time	Radiation
t	Rad
s	Counts

1	109
2	96
3	100
4	103
5	113
6	112
7	123
8	117
9	98
10	88
11	101
12	120
13	104
14	118
15	102
16	111
17	92
18	96
19	104
20	95
21	91
22	125
23	93
24	120
25	105
26	102
27	111
28	108
29	109
30	133
31	100
32	106
33	117
34	94
35	107
36	97
37	118
38	89
39	98
40	99
41	104
42	108
43	95
44	102
45	105
46	95
47	128
48	115
49	88
50	111
51	116
52	89
53	108
54	96
55	91
56	96
57	111
58	108
59	103
60	102
61	109
62	116
63	113
64	106
65	109
66	94
67	106
68	106
69	101
70	106
71	120
72	125
73	119
74	108
75	98
76	103
77	88
78	92
79	100
80	86
81	111
82	102
83	99
84	101
85	117
86	97
87	127
88	112
89	114
90	122
91	110
92	106
93	95
94	115
95	118
96	88
97	107
98	96
99	98
100	107
