Time,Radiation
1,4
2,0
3,2
4,2
5,3
6,1
7,0
8,2
9,0
10,4
11,2
12,1
13,1
14,0
15,0
16,4
17,2
18,1
19,2
20,1
21,1
22,0
23,0
24,0
25,0
26,0
27,3
28,1
29,1
30,0
31,0
32,0
33,1
34,5
35,3
36,0
37,2
38,0
39,1
40,1
41,0
42,2
43,3
44,2
45,2
46,3
47,3
48,4
49,1
50,2
51,4
52,1
53,1
54,2
55,2
56,2
57,1
58,2
59,0
60,1
61,0
62,3
63,0
64,1
65,2
66,1
67,0
68,2
69,3
70,1
71,1
72,1
73,3
74,0
75,0
76,2
77,0
78,1
79,2
80,0
81,2
82,0
83,1
84,2
85,2
86,2
87,2
88,1
89,0
90,2
91,0
92,1
93,1
94,0
95,0
96,3
97,0
98,3
99,1
100,1
